timestamp,c_dht,h_dht,c_bme,p_bme,h_bme
1713365437,23.30167,48.31617,21.87,996.40,41.93
1713365447,23.30167,48.00488,21.4,996.49,40.65
1713365457,23.28832,47.51507,21.39,996.53,40.32
1713365467,23.27497,47.35942,21.37,996.49,40.26
1713365477,23.30167,47.38537,21.35,996.54,40.25
1713365487,23.27497,47.4052,21.32,996.48,40.29
1713365497,23.28832,47.31212,21.3,996.48,40.35
1713365507,23.28832,47.44488,21.3,996.48,40.39
1713365517,23.28832,47.53796,21.27,996.43,40.43
1713365527,23.2456,47.54559,21.27,996.50,40.47
1713365537,23.27497,47.57306,21.26,996.41,40.37
1713365547,23.2456,47.40368,21.23,996.50,40.27
1713365557,23.23225,47.27092,21.2,996.42,40.28
1713365567,23.26162,47.24956,21.18,996.38,40.36
1713365577,23.21889,47.29076,21.16,996.40,40.35
1713365587,23.20287,47.24346,21.13,996.45,40.37
1713365597,23.18952,47.3579,21.13,996.47,40.53
1713365607,23.18952,47.4052,21.1,996.47,40.56
1713365617,23.16281,47.29534,21.08,996.46,40.46
1713365627,23.17616,47.32128,21.06,996.51,40.46
1713365637,23.16281,47.36706,21.05,996.55,40.55
1713365647,23.14679,47.36706,21.03,996.46,40.58
1713365657,23.14679,47.42657,21.03,996.51,40.60
1713365667,23.13344,47.4464,21.02,996.47,40.57
1713365677,23.12009,47.31212,20.99,996.51,40.55
1713365687,23.12009,47.36248,20.99,996.56,40.65
1713365697,23.10674,47.33654,20.97,996.53,40.63
1713365707,23.10674,47.37164,20.95,996.51,40.62
1713365717,23.07736,47.38079,20.94,996.48,40.69
1713365727,23.06401,47.41436,20.93,996.48,40.68
1713365737,23.07736,47.40368,20.92,996.49,40.68
1713365747,23.06401,47.43725,20.91,996.53,40.72
1713365757,23.03464,47.42199,20.9,996.46,40.74
1713365767,23.03464,47.45861,20.89,996.44,40.70
1713365777,23.02129,47.43267,20.88,996.48,40.72
1713365787,23.03464,47.38537,20.87,996.46,40.73
1713365797,23.02129,47.44183,20.86,996.50,40.74
1713365807,23.00793,47.43114,20.86,996.50,40.76
1713365817,22.99191,47.45098,20.85,996.48,40.78
1713365827,22.97856,47.38995,20.83,996.48,40.75
1713365837,22.99191,47.41436,20.83,996.57,40.84
1713365847,22.97856,47.53338,20.82,996.50,40.91
1713365857,22.96521,47.61578,20.82,996.52,41.01
1713365867,22.96521,47.65088,20.82,996.54,41.07
1713365877,22.94919,47.76684,20.82,996.53,41.11
1713365887,22.96521,47.78363,20.82,996.52,41.09
1713365897,22.93584,47.78973,20.82,996.48,41.08
1713365907,22.94919,47.74395,20.81,996.50,41.09
1713365917,22.96521,47.80651,20.81,996.53,41.09
1713365927,22.94919,47.80346,20.82,996.52,41.10
1713365937,22.94919,47.85229,20.82,996.48,41.13
1713365947,22.92249,47.89502,20.82,996.60,41.17
1713365957,22.93584,47.89807,20.82,996.49,41.09
1713365967,22.92249,47.84771,20.81,996.57,41.02
1713365977,22.92249,47.86145,20.81,996.57,41.15
1713365987,22.89311,47.90417,20.81,996.52,41.09
1713365997,22.87976,47.92553,20.81,996.52,41.11
1713366007,22.90913,47.91638,20.81,996.55,41.12
1713366017,22.87976,47.94995,20.81,996.50,41.13
1713366027,22.90913,48.00031,20.81,996.49,41.15
1713366037,22.86641,48.03082,20.81,996.49,41.20
1713366047,22.86641,48.11475,20.8,996.43,41.16
1713366057,22.85306,48.00488,20.79,996.50,41.16
1713366067,22.86641,48.10101,20.8,996.50,41.13
1713366077,22.85306,48.01709,20.8,996.54,41.11
1713366087,22.85306,48.01709,20.81,996.44,41.13
1713366097,22.83703,48.01404,20.81,996.55,41.15
1713366107,22.85306,48.00488,20.81,996.52,41.11
1713366117,22.85306,48.00488,20.8,996.48,41.02
1713366127,22.85306,47.98199,20.79,996.47,41.04
1713366137,22.82368,48.01251,20.79,996.54,41.05
1713366147,22.83703,48.07355,20.79,996.46,41.09
1713366157,22.7943,48.08118,20.79,996.46,41.12
1713366167,22.7943,48.20173,20.77,996.40,41.18
1713366177,22.7943,48.27344,20.77,996.48,41.35
1713366187,22.7943,48.29633,20.77,996.49,41.16
1713366197,22.7943,48.1651,20.78,996.53,41.14
1713366207,22.77828,48.14985,20.78,996.47,41.20
1713366217,22.77828,48.17426,20.78,996.50,41.15
1713366227,22.7943,48.21088,20.78,996.53,41.20
1713366237,22.7943,48.21088,20.78,996.48,41.25
1713366247,22.75158,48.26581,20.78,996.43,41.23
1713366257,22.77828,48.25666,20.79,996.47,41.27
