c_sht,h_sht,c_bme,p_bme,h_bme,c_lm,lux_diode
1713969090,21.33631,44.40985,20.48C,996.96hPa,37.05%,22.96681,98.19333
1713969100,21.36568,44.42511,19.94C,997.05hPa,37.02%,22.88624,98.21774
1713969110,21.36568,44.48768,19.84C,997.03hPa,36.99%,22.64454,98.21774
1713969120,21.35233,44.47089,19.7C,997.05hPa,36.96%,22.56397,98.1445
1713969130,21.30961,44.60822,19.6C,997.14hPa,36.88%,22.32227,98.16891
1713969140,21.32296,44.6479,19.49C,997.05hPa,37.16%,22.32227,98.16891
1713969150,21.29626,44.72725,19.39C,997.04hPa,37.41%,22.16113,98.1445
1713969160,21.29626,44.88136,19.28C,997.09hPa,37.51%,22.08057,98.16891
1713969170,21.28024,44.79591,19.15C,997.07hPa,37.76%,21.7583,98.12009
1713969180,21.26688,44.46174,19.06C,997.10hPa,38.11%,21.83887,98.09567
1713969190,21.25353,44.46021,18.99C,997.17hPa,38.36%,21.7583,98.07126
1713969200,21.22416,44.45564,18.94C,997.19hPa,38.46%,21.67773,98.02243
1713969210,21.22416,44.55177,18.88C,997.18hPa,38.64%,21.51659,98.02243
1713969220,21.19746,44.74861,18.84C,997.19hPa,38.70%,21.51659,97.9736
1713969230,21.19746,44.93782,18.8C,997.15hPa,38.84%,21.35546,97.9736
1713969240,21.21081,45.05989,18.76C,997.17hPa,39.01%,21.35546,97.94919
1713969250,21.18143,45.10262,18.73C,997.19hPa,39.11%,21.43603,97.9736
1713969260,21.16541,45.1606,18.7C,997.15hPa,39.12%,21.35546,97.94919
1713969270,21.15206,45.20638,18.67C,997.17hPa,39.34%,21.35546,97.9736
1713969280,21.13871,45.27657,18.64C,997.21hPa,39.44%,21.43603,97.99802
1713969290,21.13871,45.29946,18.62C,997.25hPa,39.47%,21.27489,97.9736
1713969300,21.10933,45.3315,18.6C,997.19hPa,39.54%,21.27489,97.99802
1713969310,21.15206,45.40779,18.57C,997.20hPa,39.63%,21.27489,97.99802
1713969320,21.10933,45.35439,18.55C,997.29hPa,39.67%,21.27489,97.99802
1713969330,21.10933,45.38948,18.53C,997.24hPa,39.74%,21.27489,97.99802
1713969340,21.07996,45.45815,18.51C,997.26hPa,39.81%,21.11376,97.9736
1713969350,21.09598,45.48257,18.49C,997.26hPa,39.87%,21.27489,97.92477
1713969360,21.07996,45.44595,18.47C,997.25hPa,39.93%,21.27489,97.90036
1713969370,21.0666,45.50393,18.46C,997.18hPa,39.98%,21.11376,97.82711
1713969380,21.0666,45.54971,18.45C,997.19hPa,40.04%,21.11376,97.8027
1713969390,21.07996,45.51766,18.44C,997.28hPa,40.10%,21.11376,97.75387
1713969400,21.02388,45.55886,18.43C,997.26hPa,40.21%,21.19432,97.70504
1713969410,21.05325,45.54971,18.41C,997.26hPa,40.09%,21.03319,97.70504
1713969420,21.0399,45.47646,18.4C,997.18hPa,40.13%,21.19432,97.68063
1713969430,21.02388,45.48714,18.39C,997.21hPa,40.27%,21.11376,97.65621
1713969440,21.02388,45.46273,18.39C,997.30hPa,40.27%,21.11376,97.6318
1713969450,21.01053,45.53292,18.38C,997.30hPa,40.36%,21.03319,97.60738
1713969460,21.02388,45.60464,18.36C,997.31hPa,40.42%,21.03319,97.55856
1713969470,20.99718,45.6611,18.35C,997.29hPa,40.46%,21.11376,97.53414
1713969480,20.99718,45.70687,18.34C,997.35hPa,40.48%,21.11376,97.50973
1713969490,20.99718,45.70687,18.34C,997.30hPa,40.54%,21.11376,97.48531
1713969500,20.9678,45.7023,18.32C,997.29hPa,40.75%,21.11376,97.41207
1713969510,20.9678,45.69314,18.31C,997.28hPa,40.67%,20.95262,97.38766
1713969520,20.98383,45.68246,18.31C,997.30hPa,40.64%,20.95262,97.33883
1713969530,20.9678,45.69314,18.31C,997.21hPa,40.71%,21.03319,97.31441
1713969540,20.9678,45.75265,18.3C,997.29hPa,40.79%,20.95262,97.29
1713969550,20.95445,45.73892,18.3C,997.22hPa,40.76%,21.11376,97.24117
1713969560,20.9411,45.74807,18.29C,997.21hPa,40.77%,21.11376,97.16793
1713969570,20.9411,45.81979,18.28C,997.26hPa,40.79%,21.03319,97.1191
1713969580,20.92508,45.82895,18.27C,997.23hPa,40.81%,21.11376,97.02144
1713969590,20.92508,45.82895,18.27C,997.20hPa,40.91%,21.11376,96.97261
1713969600,20.91173,45.8259,18.26C,997.28hPa,41.02%,21.11376,96.92378
1713969610,20.92508,45.83963,18.26C,997.23hPa,41.00%,20.95262,96.89937
1713969620,20.91173,45.79232,18.25C,997.25hPa,41.00%,21.03319,96.82613
1713969630,20.89838,45.82437,18.24C,997.21hPa,40.98%,21.03319,96.7773
1713969640,20.89838,45.86099,18.24C,997.21hPa,40.99%,21.11376,96.7773
1713969650,20.89838,45.89761,18.24C,997.26hPa,41.03%,21.11376,96.72847
1713969660,20.88503,45.89456,18.23C,997.25hPa,41.03%,20.95262,96.70406
1713969670,20.88503,45.90677,18.23C,997.30hPa,41.07%,20.87205,96.60639
1713969680,20.88503,45.93118,18.22C,997.29hPa,41.13%,20.95262,96.58198
1713969690,20.88503,45.96628,18.22C,997.29hPa,41.13%,21.03319,96.53315
1713969700,20.88503,45.98917,18.21C,997.30hPa,41.13%,21.03319,96.50874
1713969710,20.85565,45.99832,18.2C,997.20hPa,41.22%,20.95262,96.53315
1713969720,20.88503,46.0029,18.2C,997.34hPa,41.22%,21.03319,96.48432
1713969730,20.869,46.02274,18.19C,997.23hPa,41.14%,20.95262,96.50874
1713969740,20.869,46.03647,18.19C,997.29hPa,41.14%,21.03319,96.48432
1713969750,20.85565,46.03494,18.19C,997.21hPa,41.23%,20.95262,96.50874
1713969760,20.85565,46.05783,18.18C,997.31hPa,41.32%,21.03319,96.53315
1713969770,20.82895,46.04105,18.18C,997.22hPa,41.29%,20.95262,96.50874
1713969780,20.85565,46.0441,18.18C,997.19hPa,41.22%,20.87205,96.45991
1713969790,20.8423,46.07767,18.18C,997.25hPa,41.28%,20.95262,96.45991
1713969800,20.82895,46.08682,18.17C,997.25hPa,41.33%,20.95262,96.41108
1713969810,20.81293,46.13565,18.18C,997.26hPa,41.26%,20.95262,96.43549
1713969820,20.81293,46.12192,18.16C,997.20hPa,41.28%,20.95262,96.38667
1713969830,20.81293,46.09903,18.16C,997.27hPa,41.33%,21.03319,96.38667
1713969840,20.81293,46.11276,18.16C,997.24hPa,41.35%,20.95262,96.36225
1713969850,20.81293,46.15854,18.16C,997.21hPa,41.31%,21.03319,96.36225
1713969860,20.79958,46.11887,18.14C,997.23hPa,41.33%,21.03319,96.36225
1713969870,20.79958,46.15549,18.15C,997.22hPa,41.35%,21.03319,96.36225
1713969880,20.7702,46.22263,18.14C,997.21hPa,41.32%,20.95262,96.33784
1713969890,20.78622,46.17838,18.14C,997.25hPa,41.37%,20.95262,96.36225
1713969900,20.7702,46.21347,18.14C,997.21hPa,41.43%,20.95262,96.31342
1713969910,20.7702,46.21347,18.14C,997.23hPa,41.44%,20.87205,96.33784
1713969920,20.7702,46.21347,18.14C,997.25hPa,41.43%,20.95262,96.31342
1713969930,20.7702,46.24704,18.13C,997.26hPa,41.42%,20.95262,96.31342
1713969940,20.75684,46.2562,18.13C,997.19hPa,41.45%,20.95262,96.289
1713969950,20.75684,46.26841,18.13C,997.21hPa,41.48%,20.95262,96.26459
1713969960,20.75684,46.22263,18.12C,997.20hPa,41.44%,20.95262,96.26459
1713969970,20.7702,46.29587,18.12C,997.20hPa,41.46%,21.03319,96.26459
1713969980,20.75684,46.28214,18.12C,997.26hPa,41.50%,20.87205,96.26459
1713969990,20.73014,46.31418,18.13C,997.26hPa,41.51%,20.87205,96.289
1713970000,20.74349,46.30198,18.11C,997.13hPa,41.51%,20.87205,96.33784
1713970010,20.73014,46.33707,18.12C,997.26hPa,41.53%,20.95262,96.36225
1713970020,20.73014,46.33707,18.11C,997.27hPa,41.53%,21.03319,96.41108
1713970030,20.70077,46.32029,18.11C,997.21hPa,41.51%,20.87205,96.45991
1713970040,20.73014,46.34775,18.11C,997.23hPa,41.53%,20.87205,96.50874
1713970050,20.71412,46.34623,18.11C,997.21hPa,41.49%,20.95262,96.48432
1713970060,20.74349,46.32486,18.1C,997.19hPa,41.54%,20.87205,96.45991
1713970070,20.73014,46.34775,18.1C,997.16hPa,41.57%,20.87205,96.45991
1713970080,20.70077,46.36911,18.11C,997.20hPa,41.59%,20.87205,96.45991
